Category,Symptom
Laboratory Findings,Blood alkaline phosphatase normal
Laboratory Findings,Blood bilirubin normal
Laboratory Findings,Blood calcium normal
Laboratory Findings,Blood chloride normal
Laboratory Findings,Blood magnesium normal
Laboratory Findings,Blood osmolarity decreased
Laboratory Findings,Blood potassium decreased
Laboratory Findings,Blood sodium normal
Laboratory Findings,Blood urea nitrogen/creatinine ratio
Laboratory Findings,Blood urea normal
Laboratory Findings,C-reactive protein increased
Uncategorized,Eosinophil count normal
Uncategorized,Eosinophil percentage decreased
Uncategorized,Fibrin D dimer
Uncategorized,Glomerular filtration rate decreased
Uncategorized,Haematocrit normal
Laboratory Findings,Haemoglobin normal
Uncategorized,Immature granulocyte count increased
Uncategorized,International normalised ratio normal
Uncategorized,Lymphocyte count normal
Uncategorized,Lymphocyte percentage
Laboratory Findings,Mean cell haemoglobin concentration decreased
Laboratory Findings,Mean cell haemoglobin normal
Uncategorized,Mean cell volume normal
Laboratory Findings,Mean platelet volume increased
Uncategorized,Monocyte count normal
Uncategorized,Monocyte percentage
Uncategorized,N-terminal prohormone brain natriuretic peptide normal
Uncategorized,Neutrophil count normal
Uncategorized,Neutrophil percentage
Laboratory Findings,Platelet count normal
Laboratory Findings,Protein total normal
Laboratory Findings,Red blood cell count normal
Laboratory Findings,Red blood cell sedimentation rate increased
Uncategorized,Red cell distribution width normal
Uncategorized,Troponin T normal
Laboratory Findings,White blood cell count normal
Uncategorized,Dysphonia
Musculoskeletal Symptoms,Pain in jaw
Uncategorized,Dysstasia
Musculoskeletal Symptoms,Muscle spasms
Dermatologic Symptoms,Injection site urticaria
Neurological Symptoms,Muscular weakness
Uncategorized,Sensation of foreign body
Gastrointestinal Symptoms,Faeces discoloured
Uncategorized,Palatal oedema
ENT Symptoms,Nasal congestion
Uncategorized,Rhinorrhoea
Ophthalmologic Symptoms,Photophobia
Musculoskeletal Symptoms,Circumoral swelling
Uncategorized,Cranial nerve disorder
General Symptoms,Nerve conduction studies abnormal
Uncategorized,Fasting
Musculoskeletal Symptoms,Swelling
Dermatologic Symptoms,Rash pruritic
Uncategorized,Product preparation issue
Respiratory Symptoms,Asthma
Gastrointestinal Symptoms,Frequent bowel movements
Uncategorized,Pollakiuria
Dermatologic Symptoms,Injection site joint pain
Uncategorized,Taste disorder
Uncategorized,Increased upper airway secretion
Cardiovascular Findings,Electrocardiogram
Cardiovascular Findings,Angina pectoris
Uncategorized,Burning sensation
Cardiovascular Findings,Cardiac discomfort
Allergic and Immune Reactions,Food allergy
ENT Symptoms,Nasal dryness
Uncategorized,Product preparation error
Musculoskeletal Symptoms,Spinal pain
Laboratory Findings,Blood urea increased
Laboratory Findings,Full blood count normal
Laboratory Findings,Metabolic function test normal
Psychiatric Symptoms,Sleep disorder
Uncategorized,Human chorionic gonadotropin
Cardiovascular Findings,Sinus tachycardia
Uncategorized,Tracheomalacia
Gastrointestinal Symptoms,Dyspepsia
Psychiatric Symptoms,Insomnia
Uncategorized,Hunger
Uncategorized,Blepharospasm
Uncategorized,Peripheral coldness
Dermatologic Symptoms,Skin discolouration
Uncategorized,Ageusia
Uncategorized,Exposure during pregnancy
Dermatologic Symptoms,Injection site nodule
Laboratory Findings,Blood thyroid stimulating hormone decreased
Laboratory Findings,Urine analysis normal
Uncategorized,Computerised tomogram
Uncategorized,Facial paralysis
Procedural and Device-Related Issues,Magnetic resonance imaging
General Symptoms,Oral discomfort
Laboratory Findings,Blood creatinine normal
Neurological Symptoms,Seizure
ENT Symptoms,Nasal discomfort
Musculoskeletal Symptoms,Swelling of eyelid
Cardiovascular Findings,Electrocardiogram QT prolonged
Uncategorized,Hypokalaemia
Laboratory Findings,Laboratory test abnormal
Respiratory Symptoms,Respiratory acidosis
General Symptoms,Acoustic stimulation tests abnormal
Uncategorized,Deafness unilateral
Uncategorized,Maternal exposure during breast feeding
Dermatologic Symptoms,Palmar erythema
Musculoskeletal Symptoms,Breast swelling
Ophthalmologic Symptoms,Ocular hyperaemia
Procedural and Device-Related Issues,Extra dose administered
Dermatologic Symptoms,Injection site haemorrhage
Dermatologic Symptoms,Dry skin
Dermatologic Symptoms,Skin exfoliation
Laboratory Findings,Blood glucose increased
Uncategorized,Unevaluable event
General Symptoms,Body temperature decreased
Uncategorized,Hypothermia
Uncategorized,Dyskinesia
Respiratory Symptoms,Respiratory arrest
Uncategorized,Tongue disorder
General Symptoms,Facial discomfort
Musculoskeletal Symptoms,Muscle disorder
Uncategorized,Balance disorder
Gastrointestinal Symptoms,Abdominal discomfort
Musculoskeletal Symptoms,Gastrointestinal pain
Uncategorized,Haematochezia
Dermatologic Symptoms,Rash macular
Dermatologic Symptoms,Tongue pruritus
Ophthalmologic Symptoms,Vision blurred
Laboratory Findings,Full blood count
Laboratory Findings,Metabolic function test
Laboratory Findings,Urine analysis
Cardiovascular Findings,Blood pressure abnormal
Uncategorized,Eosinophil percentage
Cardiovascular Findings,Heart rate abnormal
General Symptoms,Discomfort
Neurological Symptoms,Dizziness postural
Musculoskeletal Symptoms,Joint stiffness
Uncategorized,Antinuclear antibody positive
General Symptoms,Feeling drunk
Ophthalmologic Symptoms,Eye disorder
Neurological Symptoms,Gait disturbance
Uncategorized,Mouth breathing
Laboratory Findings,SARS-CoV-2 test positive
Cardiovascular Findings,Blood pressure decreased
Uncategorized,Computerised tomogram head normal
Cardiovascular Findings,Cardiac monitoring
Laboratory Findings,Differential white blood cell count
Uncategorized,Troponin
Procedural and Device-Related Issues,Vaccination complication
Uncategorized,Angiopathy
Neurological Symptoms,Ataxia
Laboratory Findings,Blood potassium normal
Laboratory Findings,Blood sodium decreased
Uncategorized,Carbon dioxide decreased
Uncategorized,Glomerular filtration rate normal
Procedural and Device-Related Issues,Magnetic resonance imaging brain abnormal
Laboratory Findings,Mean cell haemoglobin concentration normal
Laboratory Findings,Mean cell haemoglobin increased
Uncategorized,Mean cell volume increased
Laboratory Findings,Mean platelet volume normal
Uncategorized,Prothrombin time normal
Laboratory Findings,Red blood cell count decreased
Uncategorized,Troponin I increased
Uncategorized,Feeding disorder
ENT Symptoms,Throat clearing
Dermatologic Symptoms,Injection site discomfort
Uncategorized,Thirst
Musculoskeletal Symptoms,Vaccination site pain
Laboratory Findings,Blood lactic acid increased
Uncategorized,Dysphemia
Neurological Symptoms,Psychogenic seizure
Uncategorized,Lethargy
Laboratory Findings,Allergy test
Dermatologic Symptoms,Pain of skin
ENT Symptoms,Ear disorder
General Symptoms,Feeling jittery
Respiratory Symptoms,Tachypnoea
Respiratory Symptoms,Oxygen saturation decreased
Uncategorized,Extrasystoles
Gastrointestinal Symptoms,Increased appetite
Musculoskeletal Symptoms,Muscle tightness
Cardiovascular Findings,Sinus bradycardia
Uncategorized,Transient ischaemic attack
Psychiatric Symptoms,Fear of injection
Uncategorized,Nodule
Uncategorized,Jaw disorder
Cardiovascular Findings,Myocardial necrosis marker normal
Laboratory Findings,Blood glucose decreased
Laboratory Findings,Pregnancy test negative
Dermatologic Symptoms,Skin tightness
Ophthalmologic Symptoms,Diplopia
Ophthalmologic Symptoms,Vitreous floaters
Uncategorized,Hyperglycaemia
Ophthalmologic Symptoms,Eye irritation
Musculoskeletal Symptoms,Renal pain
Uncategorized,Sciatica
Uncategorized,Aphonia
Uncategorized,Obstructive airways disorder
Uncategorized,Odynophagia
Allergic and Immune Reactions,Autoimmune disorder
General Symptoms,Posture abnormal
Neurological Symptoms,Neuralgia
Dermatologic Symptoms,Rash vesicular
General Symptoms,Musculoskeletal discomfort
Gastrointestinal Symptoms,Gastric disorder
Cardiovascular Findings,Blood pressure fluctuation
Dermatologic Symptoms,Injection site vesicles
Uncategorized,Blindness transient
Uncategorized,Loss of personal independence in daily activities
Infectious Symptoms,Influenza
Musculoskeletal Symptoms,Musculoskeletal stiffness
Dermatologic Symptoms,Eyelids pruritus
Dermatologic Symptoms,Skin burning sensation
Laboratory Findings,Blood gases normal
Laboratory Findings,Calcium ionised normal
Uncategorized,Tetany
Uncategorized,Troponin I
Laboratory Findings,Blood calcium decreased
Ophthalmologic Symptoms,Eye discharge
Uncategorized,Intercepted product preparation error
Uncategorized,Product dispensing error
Uncategorized,Angiogram
Uncategorized,Troponin normal
Cardiovascular Findings,Blood pressure systolic
Uncategorized,Eyelid function disorder
Uncategorized,Osteoarthritis
Uncategorized,Axillary mass
Dermatologic Symptoms,Rash papular
Uncategorized,Scratch
Dermatologic Symptoms,Skin lesion
Laboratory Findings,Blood creatinine increased
Uncategorized,Computerised tomogram abdomen
General Symptoms,Computerised tomogram abnormal
Uncategorized,Dehydration
Uncategorized,Gastrointestinal inflammation
Uncategorized,Gastrointestinal wall thickening
Uncategorized,Haematocrit increased
Procedural and Device-Related Issues,Scan with contrast abnormal
Uncategorized,Small intestinal obstruction
Respiratory Symptoms,Dyspnoea exertional
Genitourinary Symptoms,Vaginal haemorrhage
Musculoskeletal Symptoms,Facial pain
Uncategorized,Hemiparaesthesia
Dermatologic Symptoms,Lip pruritus
Dermatologic Symptoms,Injection site streaking
Musculoskeletal Symptoms,Pelvic pain
Procedural and Device-Related Issues,Device malfunction
Uncategorized,Product administration error
Uncategorized,Underdose
Uncategorized,Hyporesponsive to stimuli
Musculoskeletal Symptoms,Bone pain
Uncategorized,Facial asymmetry
Laboratory Findings,Blood glucose
Uncategorized,Papule
Uncategorized,Cyanosis
Uncategorized,Livedo reticularis
Uncategorized,Nail bed disorder
Laboratory Findings,Pregnancy test
Laboratory Findings,SARS-CoV-2 antibody test
General Symptoms,Weight bearing difficulty
Laboratory Findings,Influenza A virus test negative
Uncategorized,Gout
Uncategorized,Self esteem decreased
Uncategorized,Restless legs syndrome
Laboratory Findings,Blood creatine phosphokinase decreased
Musculoskeletal Symptoms,Haematoma muscle
Uncategorized,Lymphocyte count decreased
Musculoskeletal Symptoms,Muscle contractions involuntary
Uncategorized,Sensory loss
Neurological Symptoms,Injection site paraesthesia
Musculoskeletal Symptoms,Ear pain
Uncategorized,Formication
Uncategorized,Night sweats
Dermatologic Symptoms,Vaccination site erythema
Musculoskeletal Symptoms,Vaccination site swelling
Musculoskeletal Symptoms,Axillary pain
Uncategorized,Induration
Uncategorized,Lymphoedema
Uncategorized,Petechiae
Cardiovascular Findings,Cardiac monitoring normal
Laboratory Findings,Differential white blood cell count normal
Uncategorized,Neurological examination
Dermatologic Symptoms,Skin ulcer
Musculoskeletal Symptoms,Lymph node pain
ENT Symptoms,Sinus disorder
Laboratory Findings,SARS-CoV-2 antibody test negative
Uncategorized,Photopsia
Uncategorized,Salivary hypersecretion
Psychiatric Symptoms,Panic reaction
Uncategorized,Gastrointestinal disorder
Uncategorized,Mydriasis
Uncategorized,Pupillary reflex impaired
Dermatologic Symptoms,Rash morbilliform
Uncategorized,Lung disorder
Uncategorized,Tryptase
Musculoskeletal Symptoms,Ear swelling
Gastrointestinal Symptoms,Abdominal pain lower
Laboratory Findings,Blood triglycerides normal
Gastrointestinal Symptoms,Constipation
Uncategorized,Lipase increased
Laboratory Findings,Liver function test normal
Uncategorized,Pancreatitis acute
Procedural and Device-Related Issues,Ultrasound abdomen normal
Laboratory Findings,White blood cell count increased
Uncategorized,Gastrooesophageal reflux disease
ENT Symptoms,Mucosal disorder
Uncategorized,Speech disorder
Uncategorized,Oedema
Uncategorized,Autoscopy
Uncategorized,Incorrect route of product administration
Gastrointestinal Symptoms,Abdominal distension
Gastrointestinal Symptoms,Flatulence
Uncategorized,Blister
Musculoskeletal Symptoms,Pelvic girdle pain
Uncategorized,Hypoacusis
Uncategorized,Deafness neurosensory
Dermatologic Symptoms,Skin sensitisation
Uncategorized,Pleurisy
Musculoskeletal Symptoms,Pleuritic pain
Uncategorized,Metrorrhagia
Uncategorized,Contusion
Uncategorized,Lipase
Respiratory Symptoms,Oxygen saturation normal
Uncategorized,Breast mass
Uncategorized,Breast oedema
Laboratory Findings,Influenza B virus test
Respiratory Symptoms,Respiratory syncytial virus test negative
Laboratory Findings,Streptococcus test negative
Cardiovascular Findings,Cardiac flutter
Infectious Symptoms,HIV antibody negative
ENT Symptoms,Sinus congestion
Musculoskeletal Symptoms,Comminuted fracture
ENT Symptoms,Epistaxis
Musculoskeletal Symptoms,Facial bones fracture
Uncategorized,Haemorrhage
Uncategorized,Subcutaneous haematoma
Cardiovascular Findings,Supraventricular tachycardia
Allergic and Immune Reactions,Anaphylactoid reaction
Respiratory Symptoms,Oxygen therapy
Respiratory Symptoms,Stridor
Laboratory Findings,Influenza virus test negative
Uncategorized,Hypersomnia
Respiratory Symptoms,Productive cough
Uncategorized,Lymphadenitis
Uncategorized,Motion sickness
Infectious Symptoms,COVID-19
Uncategorized,Restlessness
Infectious Symptoms,Herpes zoster
Dermatologic Symptoms,Penile rash
Dermatologic Symptoms,Scrotal dermatitis
Musculoskeletal Symptoms,Scrotal pain
Uncategorized,Galactostasis
Infectious Symptoms,Herpes simplex
Infectious Symptoms,Herpes simplex reactivation
Cardiovascular Findings,Atrial fibrillation
Laboratory Findings,Blood culture negative
Laboratory Findings,Blood lactic acid decreased
Uncategorized,Gram stain positive
Uncategorized,Haematocrit decreased
Uncategorized,International normalised ratio increased
Uncategorized,Procalcitonin increased
Uncategorized,Scalloped tongue
Uncategorized,Periorbital oedema
Respiratory Symptoms,Upper-airway cough syndrome
ENT Symptoms,Ear congestion
Uncategorized,Sneezing
Uncategorized,Computerised tomogram head
Cardiovascular Findings,Electrocardiogram ambulatory
Psychiatric Symptoms,Emotional distress
Uncategorized,Miosis
Laboratory Findings,Blood culture
Laboratory Findings,Culture urine
Uncategorized,Specialist consultation
Uncategorized,Cardioversion
Cardiovascular Findings,Ventricular tachycardia
Laboratory Findings,Blood test normal
Laboratory Findings,Glycosylated haemoglobin
Dermatologic Symptoms,Dermatitis allergic
Neurological Symptoms,Neuropathy peripheral
Uncategorized,Lactation disorder
Uncategorized,Menstruation delayed
Musculoskeletal Symptoms,Joint range of motion decreased
Musculoskeletal Symptoms,Joint noise
Uncategorized,Breath sounds
Neurological Symptoms,Paraesthesia ear
Laboratory Findings,Blood calcium increased
Uncategorized,Carbon dioxide normal
Uncategorized,Electroencephalogram normal
Procedural and Device-Related Issues,Magnetic resonance imaging brain normal
Gastrointestinal Symptoms,Vomiting projectile
Uncategorized,Crying
Uncategorized,Tenosynovitis
Uncategorized,Glossitis
Dermatologic Symptoms,Injection site mass
Musculoskeletal Symptoms,Musculoskeletal pain
Uncategorized,Coccydynia
Uncategorized,Hyperventilation
Cardiovascular Findings,Arrhythmia
Neurological Symptoms,Cerebellar ataxia
Uncategorized,Arthritis
Procedural and Device-Related Issues,Ultrasound scan
Neurological Symptoms,Eye paraesthesia
Uncategorized,Conjunctival haemorrhage
General Symptoms,Angiogram cerebral abnormal
Dermatologic Symptoms,Central nervous system lesion
Uncategorized,Demyelination
Uncategorized,Neurological symptom
Uncategorized,Fine motor skill dysfunction
Uncategorized,Alanine aminotransferase increased
Uncategorized,Lymphocyte percentage decreased
Uncategorized,Neutrophil count increased
Uncategorized,Neutrophil percentage increased
Dermatologic Symptoms,Eyelid rash
Uncategorized,Product delivery mechanism issue
Psychiatric Symptoms,Fear
Uncategorized,Drainage
Uncategorized,Hypogeusia
Uncategorized,Sluggishness
Uncategorized,Asthenopia
Dermatologic Symptoms,Sensitive skin
Procedural and Device-Related Issues,Magnetic resonance imaging brain
Ophthalmologic Symptoms,Eye haemorrhage
Uncategorized,Retinal exudates
Ophthalmologic Symptoms,Visual field defect
Respiratory Symptoms,Increased viscosity of upper respiratory secretion
Procedural and Device-Related Issues,Vaccination site induration
Infectious Symptoms,Oral herpes
Uncategorized,Hospice care
Respiratory Symptoms,Upper respiratory tract irritation
Uncategorized,Chapped lips
Uncategorized,Hyposmia
Uncategorized,Lip blister
Uncategorized,Mouth ulceration
ENT Symptoms,Pharyngitis
Uncategorized,Appendicectomy
Uncategorized,Appendicitis
General Symptoms,Computerised tomogram abdomen abnormal
Procedural and Device-Related Issues,Laparoscopic surgery
Musculoskeletal Symptoms,Periorbital pain
Laboratory Findings,Platelet count decreased
Uncategorized,Thrombocytopenia
Dermatologic Symptoms,Lip erythema
Uncategorized,Face oedema
Laboratory Findings,Influenza A virus test
Laboratory Findings,Norovirus test
Uncategorized,Activated partial thromboplastin time
Laboratory Findings,Mycoplasma test negative
Uncategorized,Prothrombin time
Infectious Symptoms,Exposure to SARS-CoV-2
Laboratory Findings,Blood cholesterol increased
Laboratory Findings,Blood triglycerides increased
General Symptoms,Computerised tomogram head abnormal
Uncategorized,Postictal state
Uncategorized,Subarachnoid haemorrhage
Allergic and Immune Reactions,Polymerase chain reaction
Neurological Symptoms,Migraine with aura
Uncategorized,Hyperaesthesia
General Symptoms,Temperature intolerance
Cardiovascular Findings,Cardiac telemetry normal
Procedural and Device-Related Issues,Magnetic resonance imaging normal
Uncategorized,Musculoskeletal disorder
Uncategorized,Lumbar puncture normal
Cardiovascular Findings,Bradycardia
Uncategorized,Blindness
Uncategorized,Nasopharyngitis
Allergic and Immune Reactions,Photosensitivity reaction
Uncategorized,Piloerection
Uncategorized,Toothache
ENT Symptoms,Paranasal sinus discomfort
Neurological Symptoms,Sinus headache
Laboratory Findings,Blood magnesium
Laboratory Findings,Blood thyroid stimulating hormone
Uncategorized,Glomerular filtration rate
Uncategorized,Lipids
General Symptoms,Periorbital discomfort
Cardiovascular Findings,Myocardial infarction
Uncategorized,Hypoglycaemia
Uncategorized,Treatment noncompliance
Neurological Symptoms,Trigeminal neuralgia
Uncategorized,Fibrin D dimer normal
Allergic and Immune Reactions,Adverse reaction
Laboratory Findings,C-reactive protein
Laboratory Findings,Herpes virus test
Laboratory Findings,Red blood cell sedimentation rate
Uncategorized,Angiogram normal
Procedural and Device-Related Issues,Vaccination site irritation
Uncategorized,Hypertonia
Musculoskeletal Symptoms,Muscle rigidity
Uncategorized,Mouth injury
ENT Symptoms,Oral mucosal blistering
Uncategorized,Echocardiogram
Allergic and Immune Reactions,Allergy to synthetic fabric
General Symptoms,Breath sounds abnormal
Uncategorized,Angiogram cerebral normal
Uncategorized,Arteriogram carotid normal
Uncategorized,Drug screen positive
Uncategorized,Hemiparesis
Uncategorized,Tic
Uncategorized,Mass
Procedural and Device-Related Issues,X-ray normal
ENT Symptoms,Nasal discharge discolouration
Dermatologic Symptoms,Skin reaction
Uncategorized,No adverse event
Laboratory Findings,Haemoglobin decreased
Uncategorized,Oversensing
Dermatologic Symptoms,Injection site inflammation
Laboratory Findings,Blood urea decreased
Uncategorized,Deafness
Uncategorized,Cellulitis
Uncategorized,Histamine intolerance
Genitourinary Symptoms,Dysuria
Respiratory Symptoms,Hypopnoea
Psychiatric Symptoms,Irritability
Neurological Symptoms,Facial paresis
Laboratory Findings,Blood albumin
Laboratory Findings,Blood alkaline phosphatase increased
Laboratory Findings,Blood bilirubin decreased
Laboratory Findings,Blood chloride decreased
Laboratory Findings,Blood creatine phosphokinase
Laboratory Findings,Blood lactate dehydrogenase
Laboratory Findings,Blood magnesium increased
Laboratory Findings,Blood phosphorus
Laboratory Findings,Blood potassium increased
Laboratory Findings,Blood uric acid
Uncategorized,Carbon dioxide increased
Uncategorized,Immature granulocyte percentage increased
Laboratory Findings,Protein total
Laboratory Findings,Red blood cell nucleated morphology
Uncategorized,Red cell distribution width increased
Uncategorized,Troponin I normal
Neurological Symptoms,Aphasia
Uncategorized,Acute coronary syndrome
Neurological Symptoms,Altered state of consciousness
Laboratory Findings,Blood electrolytes normal
Cardiovascular Findings,Acute myocardial infarction
Laboratory Findings,Blood phosphorus normal
Uncategorized,Brain natriuretic peptide increased
Cardiovascular Findings,Electrocardiogram ST segment depression
Uncategorized,Prothrombin time prolonged
Psychiatric Symptoms,Middle insomnia
Laboratory Findings,Blood thyroid stimulating hormone increased
Uncategorized,Brain natriuretic peptide normal
Respiratory Symptoms,Respiratory symptom
Respiratory Symptoms,Respiratory viral panel
Uncategorized,Enlarged uvula
Dermatologic Symptoms,Exposure via skin contact
Dermatologic Symptoms,Injection site extravasation
ENT Symptoms,Nasal mucosal discolouration
Uncategorized,Oedema mouth
Genitourinary Symptoms,Micturition urgency
Uncategorized,Anaemia
Laboratory Findings,C-reactive protein normal
Uncategorized,Computerised tomogram neck
Uncategorized,Hyperacusis
Neurological Symptoms,Migraine without aura
Allergic and Immune Reactions,Adverse drug reaction
